Image Timestamp,Joint State Timestamp
,1728711294.039808
,1728711294.0599303
,1728711294.0799346
,1728711294.1009986
,1728711294.1205013
,1728711294.1405592
,1728711294.161636
,1728711294.1817923
,1728711294.201075
,1728711294.2216218
,1728711294.2424242
,1728711294.2622437
,1728711294.282437
,1728711294.302923
,1728711294.32296
,1728711294.3433433
,1728711294.3636632
,1728711294.3832545
,1728711294.4032757
,1728711294.4237504
,1728711294.4432876
,1728711294.4635303
,1728711294.484854
,1728711294.5047874
,1728711294.5252743
,1728711294.544736
,1728711294.564959
,1728711294.5853007
,1728711294.6059618
,1728711294.6252043
,1728711294.646269
,1728711294.6674404
,1728711294.6868806
,1728711294.706016
,1728711294.7267098
,1728711294.7464685
,1728711294.7667804
,1728711294.788011
,1728711294.8070066
,1728711294.8278737
,1728711294.8470728
,1728711294.8675761
,1728711294.8878698
,1728711294.89835
,1728711294.9291902
,1728711294.9386878
,1728711294.9594972
,1728711294.9798217
,1728711295.0002494
,1728711295.020407
,1728711295.0401945
,1728711295.0603566
,1728711295.080717
,1728711295.1018276
,1728711295.1209297
,1728711295.1410203
,1728711295.1615517
,1728711295.1815581
,1728711295.2020266
,1728711295.2223918
,1728711295.2425978
,1728711295.262479
,1728711295.2824426
,1728711295.3029058
,1728711295.3234591
,1728711295.3430798
,1728711295.363309
,1728711295.3835592
,1728711295.4049368
,1728711295.4291701
,1728711295.4436522
,1728711295.4649136
,1728711295.4840033
,1728711295.5052173
,1728711295.525288
,1728711295.5455906
,1728711295.565474
,1728711295.5854075
,1728711295.6063025
,1728711295.626262
,1728711295.6460798
,1728711295.667982
,1728711295.6862602
,1728711295.7072604
,1728711295.7272215
,1728711295.747462
,1728711295.7680058
,1728711295.7880394
,1728711295.7984176
,1728711295.8183942
,1728711295.848512
,1728711295.8591588
,1728711295.8794293
,1728711295.8985174
,1728711295.91896
,1728711295.9393134
,1728711295.9595368
,1728711295.979789
,1728711295.9994137
,1728711296.0200334
,1728711296.0397403
