timestamp,joint_states
1728711292.2019277,"0.4383465051651001, -0.9972600936889648, 0.7979403734207153, 0.5260595083236694, 2.2411842346191406, -0.5398576855659485, -2.0393335819244385"
1728711292.2675538,"0.42037975788116455, -0.9992043972015381, 0.8047550916671753, 0.5305407047271729, 2.243337631225586, -0.527752697467804, -2.0373547077178955"
1728711292.3364232,"0.3993277847766876, -1.0014612674713135, 0.8130711913108826, 0.5359901189804077, 2.246098756790161, -0.5136266350746155, -2.035184144973755"
1728711292.4035747,"0.38520175218582153, -1.0028629302978516, 0.8185206651687622, 0.5391942262649536, 2.247860908508301, -0.5041811466217041, -2.033945322036743"
1728711292.4696784,"0.37209197878837585, -1.004218578338623, 0.8238800168037415, 0.5426034927368164, 2.249398708343506, -0.49559468030929565, -2.0329577922821045"
1728711292.5363698,"0.3537973165512085, -1.0062721967697144, 0.8307617902755737, 0.5472303628921509, 2.251845359802246, -0.48351457715034485, -2.0309810638427734"
1728711292.604369,"0.3409885764122009, -1.0076048374176025, 0.8356322050094604, 0.5498784184455872, 2.25360369682312, -0.4750393331050873, -2.0298209190368652"
1728711292.6721852,"0.32817983627319336, -1.0089412927627563, 0.8406118750572205, 0.5531438589096069, 2.2550745010375977, -0.4664989113807678, -2.0290539264678955"
1728711292.737133,"0.311175674200058, -1.0106920003890991, 0.8473211526870728, 0.5572683811187744, 2.2573580741882324, -0.45516085624694824, -2.0278172492980957"
1728711292.8040972,"0.2982192933559418, -1.0121723413467407, 0.8526536226272583, 0.5606297254562378, 2.2591280937194824, -0.4465974271297455, -2.027144193649292"
1728711292.8715103,"0.2845764458179474, -1.0135854482650757, 0.8578711152076721, 0.5636228919029236, 2.2606868743896484, -0.43759870529174805, -2.0258536338806152"
1728711292.9378417,"0.26994994282722473, -1.01513671875, 0.863548755645752, 0.5674022436141968, 2.2624683380126953, -0.42785409092903137, -2.024024486541748"
1728711293.0037374,"0.25698205828666687, -1.0164463520050049, 0.8682714700698853, 0.5708230137825012, 2.2643723487854004, -0.4194267690181732, -2.023029088973999"
1728711293.0707839,"0.23918403685092926, -1.0183733701705933, 0.8754408955574036, 0.5749532580375671, 2.266587018966675, -0.407574862241745, -2.021878719329834"
1728711293.1371825,"0.22628900408744812, -1.019757866859436, 0.8804551362991333, 0.5782532095909119, 2.2680788040161133, -0.39907851815223694, -2.0210907459259033"
1728711293.204356,"0.21340741217136383, -1.0210866928100586, 0.8856744766235352, 0.5811678171157837, 2.269915819168091, -0.39022552967071533, -2.020101308822632"
1728711293.270947,"0.20066002011299133, -1.0224250555038452, 0.8907021284103394, 0.5845521688461304, 2.271526336669922, -0.3820398449897766, -2.018415689468384"
1728711293.3375287,"0.18358106911182404, -1.024221658706665, 0.8970968723297119, 0.588295042514801, 2.273629903793335, -0.37077081203460693, -2.017054319381714"
1728711293.4034379,"0.1706898808479309, -1.0256540775299072, 0.9021724462509155, 0.5917215943336487, 2.2752251625061035, -0.3623301088809967, -2.0163869857788086"
1728711293.4709873,"0.15710264444351196, -1.0270787477493286, 0.9073381423950195, 0.5950484275817871, 2.2771120071411133, -0.35311469435691833, -2.0154895782470703"
1728711293.5378666,"0.1398012638092041, -1.028842806816101, 0.9143120050430298, 0.5991479754447937, 2.279313325881958, -0.3417229950428009, -2.014308452606201"
1728711293.605727,"0.12700018286705017, -1.0301792621612549, 0.919391393661499, 0.6023290753364563, 2.2807857990264893, -0.3332151472568512, -2.0129623413085938"
1728711293.672216,"0.11422787606716156, -1.0316270589828491, 0.9242886304855347, 0.6056079268455505, 2.28245210647583, -0.32476481795310974, -2.0116047859191895"
1728711293.7388172,"0.09717576205730438, -1.0333757400512695, 0.9307485818862915, 0.6099779009819031, 2.2847838401794434, -0.31342488527297974, -2.0104753971099854"
1728711293.804506,"0.08419445157051086, -1.0347007513046265, 0.935764729976654, 0.6126105785369873, 2.286283254623413, -0.30503782629966736, -2.0094285011291504"
1728711293.8721895,"0.07055544853210449, -1.0361617803573608, 0.9412582516670227, 0.6160888671875, 2.287961006164551, -0.29593172669410706, -2.0084755420684814"
1728711293.937091,"0.05597687512636185, -1.0377936363220215, 0.9468879699707031, 0.6196476817131042, 2.2901201248168945, -0.2863002419471741, -2.0071256160736084"
1728711294.005314,"0.043102942407131195, -1.0391358137130737, 0.952164888381958, 0.6229994297027588, 2.2916905879974365, -0.27758342027664185, -2.0058236122131348"
