timestamp,joint_states
1733857829.0771244,"-0.05502964183688164, -1.1239093542099, 0.4154787063598633, 0.32418957352638245, 0.32709071040153503, 0.7513399720191956, -0.13334128260612488"
1733857829.1095617,"-0.054653819650411606, -1.1199439764022827, 0.4059680104255676, 0.3243851661682129, 0.3299650251865387, 0.7478079795837402, -0.13988371193408966"
1733857829.1430662,"-0.054314423352479935, -1.1162567138671875, 0.39749085903167725, 0.324592262506485, 0.33260154724121094, 0.7447476983070374, -0.1460234671831131"
1733857829.176498,"-0.05412843078374863, -1.1143871545791626, 0.39318227767944336, 0.3246689438819885, 0.33373287320137024, 0.7432194352149963, -0.149089515209198"
1733857829.2096124,"-0.053731512278318405, -1.1103585958480835, 0.383880615234375, 0.3248760402202606, 0.33661291003227234, 0.7397334575653076, -0.15611514449119568"
1733857829.24272,"-0.053549353033304214, -1.108469843864441, 0.37933236360549927, 0.32497766613960266, 0.33786118030548096, 0.738429605960846, -0.15910640358924866"
1733857829.2770948,"-0.0532233826816082, -1.1047978401184082, 0.3707209825515747, 0.32514065504074097, 0.3402043282985687, 0.7351948022842407, -0.16532477736473083"
1733857829.3105228,"-0.05283413454890251, -1.1011700630187988, 0.3624221384525299, 0.3253554105758667, 0.34301918745040894, 0.7321978211402893, -0.17134374380111694"
1733857829.3445184,"-0.05265005677938461, -1.0993292331695557, 0.3581826090812683, 0.3254551291465759, 0.34426555037498474, 0.7306254506111145, -0.17450565099716187"
1733857829.379456,"-0.052293404936790466, -1.0956553220748901, 0.349621057510376, 0.3256736993789673, 0.3467199206352234, 0.7272526025772095, -0.18075087666511536"
1733857829.4163167,"-0.05196743458509445, -1.0918933153152466, 0.3409138023853302, 0.32589995861053467, 0.34938520193099976, 0.7242038249969482, -0.18699033558368683"
1733857829.4503617,"-0.051702823489904404, -1.089011311531067, 0.334049254655838, 0.326066792011261, 0.3512931168079376, 0.721521258354187, -0.19192592799663544"
1733857829.4781315,"-0.05153600126504898, -1.0871495008468628, 0.3299228250980377, 0.32617226243019104, 0.35252219438552856, 0.7201656103134155, -0.19498620927333832"
1733857829.5107124,"-0.05121578276157379, -1.0834755897521973, 0.3212520182132721, 0.32635632157325745, 0.35523736476898193, 0.7170535922050476, -0.20092080533504486"
1733857829.5462282,"-0.05090131610631943, -1.0798112154006958, 0.31257352232933044, 0.3265480697154999, 0.3578125238418579, 0.7139319181442261, -0.2071295976638794"
1733857829.579633,"-0.05069231241941452, -1.0775716304779053, 0.30738866329193115, 0.3266688883304596, 0.3592448830604553, 0.7121448516845703, -0.21069034934043884"
1733857829.6128833,"-0.050335660576820374, -1.0739917755126953, 0.29906490445137024, 0.326856791973114, 0.36176827549934387, 0.7089637517929077, -0.21697966754436493"
1733857829.6451404,"-0.049969423562288284, -1.0703504085540771, 0.2906145751476288, 0.32706964015960693, 0.3642840087413788, 0.7060645222663879, -0.2231999635696411"
1733857829.6781085,"-0.04979109764099121, -1.068463683128357, 0.28617560863494873, 0.32716357707977295, 0.3654920160770416, 0.7044768333435059, -0.22631777822971344"
1733857829.7127645,"-0.049455542117357254, -1.0647571086883545, 0.27756422758102417, 0.3273821771144867, 0.3682800233364105, 0.7013168334960938, -0.23247286677360535"
1733857829.7464516,"-0.0490969717502594, -1.0610660314559937, 0.2691388428211212, 0.32755476236343384, 0.3707382380962372, 0.6981721520423889, -0.23862414062023163"
1733857829.7795398,"-0.0489359050989151, -1.0592904090881348, 0.26480725407600403, 0.32766979932785034, 0.3719654083251953, 0.6964272856712341, -0.24171510338783264"
1733857829.8122644,"-0.04859267547726631, -1.0555647611618042, 0.2563857138156891, 0.3278423845767975, 0.3745674192905426, 0.6934686303138733, -0.24787211418151855"
1733857829.8461392,"-0.0482436940073967, -1.0519005060195923, 0.24745795130729675, 0.3280034363269806, 0.3769240081310272, 0.6901034712791443, -0.2539217472076416"
1733857829.8774014,"-0.0480596162378788, -1.0500731468200684, 0.2434082329273224, 0.32810699939727783, 0.37822023034095764, 0.6887094378471375, -0.257244735956192"
1733857829.9109297,"-0.04769337922334671, -1.0464049577713013, 0.23496749997138977, 0.3283275067806244, 0.38098713755607605, 0.685654878616333, -0.2632406949996948"
1733857829.9427686,"-0.04751313850283623, -1.044612169265747, 0.23068003356456757, 0.32840994000434875, 0.38230061531066895, 0.6839061379432678, -0.26617443561553955"
